,stt,poiDesc,poiAddr,dientich,coords,poiLat,poiLong,geometry
182,183,Khách sạn Rosaleen Boutique,0234 3834647,4593.0,"16.4695040551558, 107.59548876754228",16.4695040551558,107.59548876754228,POINT (107.59548876754228 16.4695040551558)
183,184,Khách sạn Spatel d'Annam ,0234 7722222,4580.0,"16.47348452010494, 107.57958223040252",16.47348452010494,107.57958223040252,POINT (107.57958223040252 16.47348452010494)
185,186,Khách sạn Thành Minh,0234 3820658,300.0,"16.470659246233915, 107.59847167378557",16.470659246233915,107.59847167378557,POINT (107.59847167378557 16.470659246233915)
186,187,Khách sạn Thảo An,2343977999,125.0,"16.474887355204693, 107.60280159699012",16.474887355204693,107.60280159699012,POINT (107.60280159699012 16.474887355204693)
188,189,Khách sạn Thiên Đường,0234 3825976,283.6,"16.468048970832218, 107.59846814248813",16.468048970832218,107.59846814248813,POINT (107.59846814248813 16.468048970832218)
189,190,Khách sạn Thiên Phú,23403828287,320.0,"16.453721587805273, 107.58762224157836",16.453721587805273,107.58762224157836,POINT (107.58762224157836 16.453721587805273)
190,191,Khách sạn Trần Lý,0234 3830894,105.0,"16.470551878072584, 107.59453051033287",16.470551878072584,107.59453051033287,POINT (107.59453051033287 16.470551878072584)
191,192,Khách sạn Tre Xanh,234.3828888,125.0,"16.46432495563047, 107.59410369480759",16.46432495563047,107.59410369480759,POINT (107.59410369480759 16.46432495563047)
192,193,Khách sạn Trúc Xanh,2343510999,0.0,"16.45694864120509, 107.55776049699003",16.45694864120509,107.55776049699003,POINT (107.55776049699003 16.45694864120509)
193,194,Khách sạn Trương Giang,0234 3826827,300.0,"16.468476821567016, 107.59406247985802",16.468476821567016,107.59406247985802,POINT (107.59406247985802 16.468476821567016)
196,197,Khách sạn Volga,0234 2282479,80.0,"16.46413424229004, 107.59488172402959",16.46413424229004,107.59488172402959,POINT (107.59488172402959 16.46413424229004)
197,198,Khách sạn White Lotus Huế ,234.3881888,1770.0,"16.46528233283347, 107.5907118643013",16.46528233283347,107.5907118643013,POINT (107.5907118643013 16.46528233283347)
198,199,Khách sạn Xanh - Huế (Green Hotel Hue),54.383442,0.0,"16.45755545942795, 107.57925652193832",16.45755545942795,107.57925652193832,POINT (107.57925652193832 16.45755545942795)
204,205,KSND Vedana  ,0234 3681685,273336.0,"16.433809713683463, 107.58070973236784",16.433809713683463,107.58070973236784,POINT (107.58070973236784 16.433809713683463)
209,210,MOTEL BÔNG SEN,2343.525997,0.0,"16.472724506801658, 107.5831493481857",16.472724506801658,107.5831493481857,POINT (107.5831493481857 16.472724506801658)
211,212,Ngọc Hưng,3837999,0.0,"16.469528348422905, 107.59571111810394",16.469528348422905,107.59571111810394,POINT (107.59571111810394 16.469528348422905)
213,214,Ngôi sao Bình Dương,234.3846466,170.0,"16.463151192347336, 107.59002940000089",16.463151192347336,107.59002940000089,POINT (107.59002940000089 16.463151192347336)
214,215,Ngự Bình ,3825752,0.0,"16.45130134651329, 107.5897472477796",16.45130134651329,107.5897472477796,POINT (107.5897472477796 16.45130134651329)
215,216,Nhà nghỉ Ánh Ngọc,906090881,50.0,"16.454732726442103, 107.5826968732259",16.454732726442103,107.5826968732259,POINT (107.5826968732259 16.454732726442103)
216,217,Nhật Lệ,3827563,0.0,"16.4639175231851, 107.59108007976214",16.4639175231851,107.59108007976214,POINT (107.59108007976214 16.4639175231851)
218,219,NICE HUE HOTEL,234.3820413,250.0,"16.460679222586776, 107.5893544873579",16.460679222586776,107.5893544873579,POINT (107.5893544873579 16.460679222586776)
219,220,Nữ Hoàng,,0.0,"16.4871114023459, 107.59517565586096",16.4871114023459,107.59517565586096,POINT (107.59517565586096 16.4871114023459)
220,221,Phố Huế ,0234 3823456,3685.0,"16.470991555615186, 107.59628151092338",16.470991555615186,107.59628151092338,POINT (107.59628151092338 16.470991555615186)
223,224,Phượng Hoàng ,3826736,0.0,"16.469707992938794, 107.59354112052606",16.469707992938794,107.59354112052606,POINT (107.59354112052606 16.469707992938794)
225,226,Quỳnh Ngọc,971810999,0.0,"16.465616499579138, 107.60516191175748",16.465616499579138,107.60516191175748,POINT (107.60516191175748 16.465616499579138)
230,231,Sen,0234 3824831,100.0,"16.460796184981632, 107.58979060942609",16.460796184981632,107.58979060942609,POINT (107.58979060942609 16.460796184981632)
232,233,Song Cầm,3838347,0.0,"16.457173164713, 107.58255271307318",16.457173164713,107.58255271307318,POINT (107.58255271307318 16.457173164713)
233,234,Stay,3823999,0.0,"16.472062165698127, 107.59559138071363",16.472062165698127,107.59559138071363,POINT (107.59559138071363 16.472062165698127)
234,235,Thái Sơn,3824258,0.0,"16.46205623849186, 107.60021494889578",16.46205623849186,107.60021494889578,POINT (107.60021494889578 16.46205623849186)
235,236,Thái Ý,3897372,0.0,"16.474320162016515, 107.59595501297521",16.474320162016515,107.59595501297521,POINT (107.59595501297521 16.474320162016515)
236,237,Thăng Long ,3826462,0.0,"16.464840930035432, 107.59314419672491",16.464840930035432,107.59314419672491,POINT (107.59314419672491 16.464840930035432)
237,238,Thăng Long III,3823531,0.0,"16.468765278478767, 107.59614067055317",16.468765278478767,107.59614067055317,POINT (107.59614067055317 16.468765278478767)
238,239,Thành Lợi ,3524803,0.0,"16.469078109111827, 107.58461621279325",16.469078109111827,107.58461621279325,POINT (107.58461621279325 16.469078109111827)
239,240,Thanh Xuân,3816868,0.0,"16.46578327576433, 107.59176217879352",16.46578327576433,107.59176217879352,POINT (107.59176217879352 16.46578327576433)
240,241,The Scarlett,234.3939666,1539.0,"16.467122677082827, 107.59488043138897",16.467122677082827,107.59488043138897,POINT (107.59488043138897 16.467122677082827)
248,249,Waterland,3935435,0.0,"16.469420274266497, 107.5969228064982",16.469420274266497,107.5969228064982,POINT (107.5969228064982 16.469420274266497)
250,251,Yến Yến,914019823,0.0,"16.474321066563405, 107.59595387523592",16.474321066563405,107.59595387523592,POINT (107.59595387523592 16.474321066563405)
