stt,ten,sodienthoai,dientich
149,Khách sạn Anhill thuộc công ty cổ phần INNHUE,"234,3881234","5836,3"
150,Khách sạn Bảo Minh,0234 3829953,100
151,Khách sạn Bình Dương IV,"234,3849662",0
152,Khách sạn Champa,905753175,150
153,Khách sạn Cherry ,0234 3687777,195
154,Khách sạn Cố Đô Cỉtadel,2343826249,200
155,Khách sạn Đồng Lợi,0234 3822296,800
156,Khách sạn Đức Lộc,0234 3931671,147
157,Khách sạn Familia,796626365,145
158,Khách sạn Green Zone,0234 3837373,60
159,Khách sạn Hài Hòa,0234 3845777,87
160,Khách sạn Hoa Nhài,0234 3830111,"521,4"
161,Khách sạn Hoàn Cầu,0234 3624642,750
162,khách sạn Hoàng Anh Palace,0905266855/ 0934751868,800
163,Khách sạn Hoàng Huy,905073074,84
164,Khách sạn Hồng Nhung,0234 3820993,147
165,Khách sạn Hông Thăng,0234 3938717,353
166,Khách sạn Huế (Hue Classic Hotel),0234-3689998,500
167,Khách sạn Huế Sài Gòn,0234 3821007,168
168,Khách sạn Jade Scene Hotel ,935353117,271
169,Khách sạn Khải Hoàn,0234 3826724,250
170,Khách sạn Lâm Bảo Long,903599727,80
171,Khách sạn Minh Hiếu,0234 3828725,150
172,Khách sạn Minh Long,0234 3857575,180
173,Khách sạn Nam Hold Hotel,912564566,127
174,Khách sạn New Time,"234,3822765",136
175,Khách sạn Ngọc Bình,0234 3819860,"98,4"
176,Khách sạn Ngọc Hằng,905731130,1000
177,Khách sạn Như Hiền,0234 3822908,178
178,Khách sạn Như Ngọc,932555952,250
179,Khách sạn Pao,905564275,150
180,Khách sạn Phong Nha ,"234,3827729",170
181,Khách sạn Phú Quý 2,0234 3676555,120
182,Khách sạn Quỳnh Liên,"234,3873429",0
183,Khách sạn Rosaleen Boutique,0234 3834647,4593
184,Khách sạn Spatel d'Annam ,0234 7722222,4580
185,Khách sạn Thái Bình,905435222,230
186,Khách sạn Thành Minh,0234 3820658,300
187,Khách sạn Thảo An,2343977999,125
188,Khách sạn Thảo An 2,0234 62288999,220
189,Khách sạn Thiên Đường,0234 3825976,"283,6"
190,Khách sạn Thiên Phú,23403828287,320
191,Khách sạn Trần Lý,0234 3830894,105
192,Khách sạn Tre Xanh,"234,3828888",125
193,Khách sạn Trúc Xanh,2343510999,0
194,Khách sạn Trương Giang,0234 3826827,300
195,Khách sạn Tự Do ,0234 3845676,76
196,Khách sạn Victory,0234 3814770,180
197,Khách sạn Volga,0234 2282479,80
198,Khách sạn White Lotus Huế ,"234,3881888",1770
199,Khách sạn Xanh - Huế (Green Hotel Hue),"54,383442",0
200,Khách Sạn Yến Hoàng Anh,0234 3874545,200
201,Khánh Minh Long,905809808,0
202,Khu DL Bạch Mã,3871330,0
203,Khu nghỉ dưỡng Lăng Cô (T26) ,"0,8054555",0
204,KS ND Lăng Cô,0234 3873555,68740
205,KSND Vedana  ,0234 3681685,273336
206,Làng Cò Resort ,3874426,0
207,Lapochine Beach Resort ,0234 3983333,28000
208,Mai Nga,3676999,0
209,Minh Trang ,3828148,0
210,MOTEL BÔNG SEN,"2343,525997",0
211,Ngọc Bích,0234 3938849,110
212,Ngọc Hưng,3837999,0
213,Ngọc Thanh,3873725,0
214,Ngôi sao Bình Dương,"234,3846466",170
215,Ngự Bình ,3825752,0
216,Nhà nghỉ Ánh Ngọc,906090881,50
217,Nhật Lệ,3827563,0
218,Như Hiền 2,3987769,0
219,NICE HUE HOTEL,"234,3820413",250
220,Nữ Hoàng,,0
221,Phố Huế ,0234 3823456,3685
222,Phú Gia,3891492,0
223,Phúc Khang,,0
224,Phượng Hoàng ,3826736,0
225,Quang Thịnh,908180965,0
226,Quỳnh Ngọc,971810999,0
227,River View,3827403,0
228,Royal Crest,906589919,0
229,Sang Trọng,3812256,0
230,Sankofa Village Hill Resort & Spa,0234 3777999,30000
231,Sen,0234 3824831,100
232,Sen Lăng Cô,3676777,0
233,Song Cầm,3838347,0
234,Stay,3823999,0
235,Thái Sơn,3824258,0
236,Thái Ý,3897372,0
237,Thăng Long ,3826462,0
238,Thăng Long III,3823531,0
239,Thành Lợi ,3524803,0
240,Thanh Xuân,3816868,0
241,The Scarlett,"234,3939666",1539
242,Thiên Đường ,3825976,0
243,Thiên Phú,3828287,0
244,Triệu Vỹ,0234 3876969,600
245,Trường Giang ,3826827,0
246,Tự Do (Liberty),3845676,0
247,Tulip,0234 3845777,87
248,Volga,2282479,0
249,Waterland,3935435,0
250,White Hotel,3966869,0
251,Yến Yến,914019823,0
