poiKey,poiDesc,poiAddr,poiLat,poiLong,geometry
ubndHuongLong,UBND Phường Hương Long,"69 Nguyễn Hoàng, Hương Long, TP Huế",16.462853410109208,107.55501366800047,POINT (107.55501366800047 16.462853410109208)
ubndThuanLoc,UBND Phường Thuận Lộc,"124 Lê Thánh Tôn, Thuận Thành, TP Huế",16.478522019698286,107.57981450236105,POINT (107.57981450236105 16.478522019698286)
ubndThuanHoa,UBND Phường Thuận Hòa,"127 Nguyễn Trãi, Thuận Hoà, TP Huế",16.469351957221413,107.57105123221436,POINT (107.57105123221436 16.469351957221413)
ubndXuanPhu,UBND Phường Xuân Phú,"42 Dương Văn An, Xuân Phú, TP Huế",16.467366251536966,107.6023977422813,POINT (107.6023977422813 16.467366251536966)
ubndAnTay,UBND Phường An Tây,"CHMX+C33, Võ Văn Kiệt, An Tây, TP Huế",16.433521313745867,107.59765652037918,POINT (107.59765652037918 16.433521313745867)
ubndPhuHau,UBND Phường Phú Hậu,"72 Nguyễn Gia Thiều, Phú Hiệp, TP Huế",16.492969944694842,107.58301522684728,POINT (107.58301522684728 16.492969944694842)
ubndThuyVan,UBND Phường Thủy Vân,"QL49, TP Huế",16.486533720883198,107.62344548632751,POINT (107.62344548632751 16.486533720883198)
ubndPhuongDuc,UBND Phường Phường Đúc,"kiet 212 Bùi Thị Xuân, Phường Đúc, TP Huế",16.454255137911193,107.56521532824779,POINT (107.56521532824779 16.454255137911193)
ubndGiaHoi,UBND Phường Gia Hội,"138 Nguyễn Chí Thanh, Phú Hiệp, TP Huế",16.487408345620747,107.58769279099953,POINT (107.58769279099953 16.487408345620747)
ubndPhuNhuan,UBND Phường Phú Nhuận,"158 Nguyễn Huệ, Phú Nhuận, TP Huế",16.458830439809134,107.59863834836611,POINT (107.59863834836611 16.458830439809134)
ubndAnDong,UBND Phường An Đông,"2 Tôn Quang Phiệt, An Đông, TP Huế",16.456541300110466,107.6069179606736,POINT (107.6069179606736 16.456541300110466)
ubndAnHoa,UBND Phường An Hòa,"Đường Nguyễn Văn Linh, An Hòa, TP Huế",16.48796533665773,107.55056663284832,POINT (107.55056663284832 16.48796533665773)
ubndKimLong,UBND Phường Kim Long,"87 Phạm Thị Liên, Kim Long, TP Huế",16.462617609033348,107.55687983025484,POINT (107.55687983025484 16.462617609033348)
ubndDongBa,UBND Phường Đông Ba,"70 Phan Đăng Lưu, Phú Hoà, TP Huế",16.475102945564306,107.58701863234,POINT (107.58701863234 16.475102945564306)
ubndPhuHoi,UBND Phường Phú Hội,"3 Tôn Đức Thắng, Phú Nhuận, TP Huế",16.464264809765325,107.59723391101683,POINT (107.59723391101683 16.464264809765325)
ubndThuyXuan,UBND Phường Thủy Xuân,"38 Lê Ng. Cát, Trường An, TP Huế",16.437274020355886,107.57864350537781,POINT (107.57864350537781 16.437274020355886)
ubndThuyBieu,UBND Phường Thủy Biều,"25 Ngô Hà, Thủy Biều, TP Huế",16.44451128773236,107.54426757584697,POINT (107.54426757584697 16.44451128773236)
ubndTruongAn,UBND Phường Trường An,"146 Phan Bội Châu, Phước Vĩnh, TP Huế",16.45127449595573,107.58222787530892,POINT (107.58222787530892 16.45127449595573)
ubndVinhNinh,UBND Phường Vĩnh Ninh,"55 Hai Bà Trưng, Vĩnh Ninh, TP Huế",16.457773398523926,107.58929126465259,POINT (107.58929126465259 16.457773398523926)
ubndVyDa,UBND Phường Vỹ Dạ,"20 Lâm Hoằng, Vỹ Dạ, TP Huế",16.478385030500192,107.5996369851254,POINT (107.5996369851254 16.478385030500192)
ubndHuongAn,UBND Phường Hương An,"FG9F+GMP, Hương An, TP Huế",16.46883980942264,107.52422526704086,POINT (107.52422526704086 16.46883980942264)
ubndPhuThanh,UBND Xã Phú Thanh,"GHRX+8F8, Hải Trình, Phú Vang",16.540791499033176,107.59869428537067,POINT (107.59869428537067 16.540791499033176)
ubndPhuThuong,UBND Phường Phú Thượng,"FJV2+XV9, Phú Thượng, Phú Vang",16.49490938702885,107.602236455719,POINT (107.602236455719 16.49490938702885)
ubndPhuDuong,UBND Xã Phú Dương,"GH7X+4X3, Liên thôn Dương Nỗ, Phú Dương, Phú Vang",16.512788577449,107.5999049285095,POINT (107.5999049285095 16.512788577449)
ubndPhuMau,UBND Xã Phú Mậu,"GH9M+46C, ĐT2, Phú Mậu, Phú Vang",16.51786788403538,107.58297006604428,POINT (107.58297006604428 16.51786788403538)
ubndThuanAn,UBND Phường Thuận An,"164 Kinh Dương Vương, Thuận An, Phú Vang",16.53976738680716,107.63417570883975,POINT (107.63417570883975 16.53976738680716)
ubndHuongTho,UBND Xã Hương Thọ,"9HWF+5GX, Hương Thọ, Hương Trà",16.395581188152867,107.57389632248952,POINT (107.57389632248952 16.395581188152867)
ubndHaiDuong,UBND Xã Hải Dương,"Hải Dương, Hương Trà",16.581573496578308,107.59769967538983,POINT (107.59769967538983 16.581573496578308)
ubndHuongHo,UBND Phường Hương Hồ,"CGQF+RRG, Phường, Hương Trà",16.439574936021497,107.52461416318964,POINT (107.52461416318964 16.439574936021497)
ubndHuongVinh,UBND Phường Hương Vinh,"92 ĐT4, Hương Vang, Hương Trà",16.501689774925193,107.57486094903194,POINT (107.57486094903194 16.501689774925193)
ubndThuyBang,UBND Xã Thủy Bằng,"9HRJ+XC6, Minh Mạng, Thủy Bằng, Hương Thủy",16.39240098524846,107.58101990928412,POINT (107.58101990928412 16.39240098524846)
