ward,geometry,wardName,population,male,female,nppTHPT,nppTertiary,nElderly
Thủy Bằng,"POLYGON ((107.5867309570001 16.417240143000186, 107.58354187000015 16.417573927999968, 107.58263397200017 16.420396805000053, 107.58059692400019 16.42106628400012, 107.57983398400012 16.424507141000163, 107.57733917200011 16.424089431000027, 107.57590484700017 16.42255592400005, 107.571662903 16.420522689000165, 107.57134246800007 16.423694610000155, 107.56608581500006 16.42490959200012, 107.56535841208154 16.425037438751076, 107.56517276284177 16.421869304309382, 107.56528973264165 16.420193122786202, 107.56461460401857 16.420405627430284, 107.56435072115102 16.41926232958565, 107.56493615605126 16.416360987836754, 107.5655615288519 16.414289384478536, 107.56618340865765 16.412821982447554, 107.56771770921466 16.40998155052091, 107.56969991488768 16.407032163401652, 107.57184236353356 16.404612695356718, 107.57422426657479 16.401627728918413, 107.5760241895195 16.399548169151217, 107.57623473757013 16.397574336655737, 107.57648070187332 16.396236373146508, 107.57698114421953 16.39429704112672, 107.57709602073692 16.393087660493734, 107.57695924629746 16.390261020642868, 107.57681373473679 16.389321414355493, 107.57735834342827 16.38790952693961, 107.57846024379569 16.38631736866489, 107.58089109774971 16.38419901990801, 107.58468993717514 16.38182871148365, 107.58750847627346 16.379824038599963, 107.58933480596414 16.377975944537297, 107.59062308841175 16.37753385011615, 107.59209739021009 16.37806285057843, 107.59424892150668 16.378888611049774, 107.5955430849736 16.379036264617355, 107.59682834893567 16.37973479137952, 107.59800511828928 16.378989132644733, 107.60029208280321 16.377137960129403, 107.60255043631986 16.375112567115707, 107.60410115822685 16.37379876197531, 107.60596845778394 16.371792606320184, 107.60671917582886 16.37055384790807, 107.60682029313818 16.369409189723854, 107.60668963280375 16.367119853630868, 107.60607009875747 16.364874314901897, 107.60628137778264 16.362996958217366, 107.60651151262573 16.361077176430115, 107.60691759142372 16.359188872586174, 107.60721649165964 16.357393625131465, 107.6075754517368 16.355638009631775, 107.6081556462454 16.35445437959936, 107.60843658400006 16.353364945000123, 107.6099887874247 16.352121851354696, 107.6112628774145 16.35204830170369, 107.61279668621745 16.353632468368573, 107.61402396733547 16.35363390181675, 107.61531066900011 16.35289192200014, 107.61733245800019 16.34628105200011, 107.62059021100015 16.34067535500003, 107.62800598100017 16.340070724000157, 107.63458251900005 16.340818404000004, 107.63409423900015 16.34281349200006, 107.63214874300013 16.345113755000057, 107.63076019300019 16.344638825000004, 107.629226684 16.345331193000106, 107.62771606500019 16.34433364900019, 107.62522888100011 16.34674835200002, 107.62425994800014 16.346328735000043, 107.6238098140002 16.35154151900008, 107.62339019699999 16.35188102799998, 107.62275695800008 16.350809097000024, 107.62209320100015 16.351266861000056, 107.62200164700005 16.352167131000158, 107.623329162 16.352413178000177, 107.6236038200002 16.353963853000096, 107.62516784600012 16.354339600000003, 107.62557220500008 16.355228424000018, 107.62258148200016 16.35691070600012, 107.62057495100015 16.356931686999985, 107.61822509800015 16.364791870000147, 107.61558532700013 16.367313386000035, 107.61676788400018 16.36849784900005, 107.61741638199999 16.37143898100004, 107.62103271400008 16.37359237700008, 107.6203308110002 16.376136779000092, 107.62064361600005 16.378732681000088, 107.6200561510002 16.379486084000177, 107.62242126400002 16.381875993000108, 107.6199874880001 16.38599777100012, 107.61983490099999 16.388061523000147, 107.62093353200004 16.388891220000176, 107.62089538600009 16.390008927000167, 107.61350250200019 16.39026641900017, 107.6132125850001 16.391046525000036, 107.611457825 16.39027786200012, 107.6099624630001 16.392419815000153, 107.61119842600016 16.398584366000136, 107.60942840600006 16.39912796100009, 107.6093368540001 16.404582977000075, 107.60856628500005 16.40571594300019, 107.59785461300015 16.40630340500013, 107.59068298199998 16.408891679000078, 107.58825683600014 16.410484314000087, 107.5867309570001 16.417240143000186))",Xã Thủy Bằng,8340,4102,4238,350,375,1246
Thủy Vân,"POLYGON ((107.62377929800016 16.47227287400017, 107.62698364300013 16.47262764000004, 107.62703704800003 16.474042892000057, 107.63039398300003 16.475614548000067, 107.62981414800015 16.476699829000097, 107.63380432100013 16.478496551000035, 107.6323318490002 16.483669281000118, 107.6314315790001 16.484182357000122, 107.63290405300006 16.489068986000063, 107.6238784800002 16.491458893000186, 107.61814880400004 16.48934936600017, 107.61492919900019 16.489324570000065, 107.60997772200005 16.488664627000105, 107.6089630140001 16.48738288900006, 107.60864257900016 16.48513984700014, 107.60581970200008 16.48392486500012, 107.60337066700004 16.48187065100018, 107.60311126700009 16.480905533000055, 107.60392761300011 16.479616166000085, 107.60389709400016 16.476713180000047, 107.6072463980002 16.473945617000084, 107.6131439200002 16.473743438000156, 107.61586761500001 16.472568513, 107.61894226100003 16.473211288000186, 107.62377929800016 16.47227287400017))",Phường Thủy Vân,8205,4075,4130,344,369,1225
Hải Dương,"POLYGON ((107.57128145331626 16.60398697412745, 107.57013262219039 16.59919869245499, 107.57151382727403 16.59799187540125, 107.57707292439375 16.594623973501825, 107.57577268984545 16.59275846842519, 107.57872306737227 16.59104786851708, 107.58136172256991 16.589128795870124, 107.58355799927494 16.587485097363583, 107.58594433809839 16.58454644986648, 107.58805412579738 16.583853126023712, 107.59049002460858 16.583752119288135, 107.59421110974552 16.581680718972166, 107.59495507152462 16.58306945198484, 107.59777802579214 16.58077219168797, 107.59703742172445 16.578841734274874, 107.59756171529779 16.57777534559756, 107.59973984868753 16.57536583966572, 107.60272861378786 16.572621288671257, 107.60456236835915 16.57085280920279, 107.60457153112372 16.56963780444198, 107.60668951618646 16.567695113237107, 107.60895018455238 16.566740903910613, 107.60990032596237 16.567280850439033, 107.61766640630617 16.564957120602003, 107.61940561545316 16.56475433513714, 107.61987970591923 16.565197982439486, 107.622803567929 16.565346501363592, 107.62256656736474 16.567048932477007, 107.62099515192466 16.56853920158852, 107.6195344376656 16.56933771656071, 107.61851246420918 16.570205067326867, 107.61875582011578 16.571042969478754, 107.61823099762813 16.572467981019372, 107.61669452660323 16.573364631568893, 107.61886797753249 16.573538152027538, 107.61829170368873 16.574375210616893, 107.61577088745742 16.574994619756183, 107.61546288431106 16.575848493910655, 107.61581647013463 16.576914704934154, 107.61582467290003 16.577978201489145, 107.61461817763774 16.578546142521816, 107.61344122082482 16.579566043988393, 107.61212069044859 16.581470842454223, 107.60896356116206 16.582486366915703, 107.60390193921899 16.584621490484324, 107.59626007100002 16.58825302100007, 107.58152203917808 16.597378807527093, 107.5792332223005 16.59866888790077, 107.57128145331626 16.60398697412745))",Xã Hải Dương,5738,2865,2873,241,258,857
Hương An,"POLYGON ((107.53296661300016 16.48868179300007, 107.53310245789515 16.4854642662562, 107.53049423562516 16.484419225760803, 107.52833314028743 16.48326575452495, 107.52833071564459 16.482041174862047, 107.52824401900006 16.481195449999973, 107.52598077618148 16.48032084445856, 107.52186152817688 16.478669971598663, 107.5208254868358 16.480069491522443, 107.51962280200019 16.48016929700009, 107.51811658367785 16.478944536970175, 107.51731156254863 16.478546821622217, 107.51671418158526 16.47989180383439, 107.51539611900017 16.479507446000127, 107.51576247840165 16.477879287243127, 107.51389327640169 16.476710726012982, 107.51236300898103 16.47696506883267, 107.51154856629347 16.476503299209583, 107.51213692073475 16.475508908290465, 107.51189665367781 16.474803795453226, 107.50983968488771 16.474349227992718, 107.507904053 16.474346161000028, 107.50632476900012 16.473321914999985, 107.50563929145693 16.472558413728223, 107.50313011792309 16.466842826143477, 107.49951380171109 16.460744831690818, 107.49799797239837 16.458935189005842, 107.4953492350457 16.45573719396816, 107.49578094500004 16.454410552000184, 107.49747467000014 16.45239448500007, 107.50140380900007 16.450843812000073, 107.50173187200011 16.444906233999973, 107.50579834000013 16.443147659000033, 107.50949859600007 16.444820405000087, 107.51753997700007 16.445316316000174, 107.51694488500004 16.447469712000157, 107.51752471900005 16.44842147900016, 107.52230835000017 16.44802856500013, 107.52603912300003 16.451107025000113, 107.52729797400019 16.450551986000107, 107.5277862550002 16.451023103000125, 107.5258255010001 16.451869965000185, 107.52379623040162 16.459457026723783, 107.52399969348642 16.460237016086637, 107.52482991661896 16.460337238442207, 107.52638081349369 16.46072730186927, 107.5271606450001 16.460762025000122, 107.52724849230128 16.463235010999256, 107.52622985900018 16.46487617500003, 107.52480316200018 16.468631744000163, 107.5260314950001 16.471282960000167, 107.52724456700014 16.472063064000054, 107.53060150200014 16.4722957620001, 107.53123474100005 16.474369050000064, 107.5326461800002 16.474657058000105, 107.53494262800012 16.477396012000042, 107.53933715900007 16.478017808000175, 107.5397491450002 16.480543137000097, 107.54224395700004 16.481815339000036, 107.54380798300014 16.483385087000045, 107.54311370800013 16.485773087000098, 107.54366302400013 16.48741531400003, 107.54125213600014 16.489082337000184, 107.53943634100006 16.488615037000045, 107.53885650600017 16.48970604100009, 107.53321838400012 16.489446641000143, 107.53296661300016 16.48868179300007))",Phường Hương An,6465,3234,3231,271,291,966
Hương Hồ,"POLYGON ((107.52482991661896 16.460337238442207, 107.52399969348642 16.460237016086637, 107.52379623040162 16.459457026723783, 107.5258255010001 16.451869965000185, 107.5277862550002 16.451023103000125, 107.52729797400019 16.450551986000107, 107.52603912300003 16.451107025000113, 107.52230835000017 16.44802856500013, 107.51752471900005 16.44842147900016, 107.51694488500004 16.447469712000157, 107.51753997700007 16.445316316000174, 107.50949859600007 16.444820405000087, 107.50579834000013 16.443147659000033, 107.50173187200011 16.444906233999973, 107.50140380900007 16.450843812000073, 107.49747467000014 16.45239448500007, 107.49578094500004 16.454410552000184, 107.49378967200005 16.455144882000184, 107.48979187000003 16.45169067400019, 107.48692321800019 16.45096778800007, 107.48294067400019 16.452318192000064, 107.479606628 16.45207977300015, 107.47666168200004 16.444776535000187, 107.47344970600005 16.442636490000098, 107.46806335400004 16.436714173000098, 107.46825409000002 16.433929444, 107.4714279170002 16.42610359300005, 107.47305297800006 16.425905229000023, 107.47463989200008 16.42368507500015, 107.4877014160001 16.411569595000117, 107.49124145500014 16.41178321900003, 107.49385070700004 16.412940979000098, 107.50292968800011 16.409584046000077, 107.5157089240002 16.41142273000014, 107.51771545300005 16.409484864000035, 107.51788330100004 16.405994416000055, 107.52046966500018 16.404573440999968, 107.52146148600008 16.40528488200016, 107.52512359500014 16.405616761000147, 107.52690124600002 16.40665245100007, 107.52806091300016 16.40652084300018, 107.53009796100014 16.40276908900006, 107.53199005200008 16.403934479000043, 107.53392791800002 16.402238847000092, 107.5347671520002 16.403453827000078, 107.53601837100007 16.40301895100015, 107.53839874200014 16.40820312400018, 107.54033660800008 16.40969467200017, 107.5415267940001 16.41248893800008, 107.54277801500018 16.413215637000064, 107.54166412300003 16.41803741500007, 107.54647827100007 16.420204162000175, 107.54800415000011 16.421838761000174, 107.54894256600016 16.424255371000072, 107.551681519 16.424119949999977, 107.55383300800014 16.423156738000046, 107.55675506500006 16.423315048000177, 107.55981445300006 16.42230415300014, 107.56310787915851 16.42233390313811, 107.56260342362248 16.42495208420297, 107.56043122838196 16.427586937165245, 107.55636353544799 16.428652595646156, 107.552739288709 16.4295445490489, 107.54809045831956 16.43055949986683, 107.54505998792774 16.431862160833305, 107.54016206416486 16.432939600818543, 107.53416220560871 16.434517354938635, 107.52970532097083 16.437623141621884, 107.5268292129386 16.441207845368012, 107.52574623779026 16.44406554320443, 107.52585855091547 16.445749211526902, 107.52752988228372 16.447599163815823, 107.5298975723631 16.448604681782854, 107.53229284032074 16.44890968046161, 107.5343268429491 16.44998804116136, 107.53796996673111 16.451736299598792, 107.54075381917073 16.452764336559596, 107.54363057469072 16.453337106130903, 107.54348754800014 16.454805375000035, 107.54234314000018 16.454893112000093, 107.53359985300017 16.451910020000014, 107.53240966900012 16.453786850000085, 107.53356170600011 16.454559326000037, 107.53479003800015 16.454238891999978, 107.53514862000014 16.45515823400001, 107.53651428200016 16.455104827000127, 107.53755188000002 16.457157136000035, 107.53568267800011 16.45939827100011, 107.52989959700005 16.459323882000092, 107.5271606450001 16.460762025000122, 107.52638081349369 16.46072730186927, 107.52482991661896 16.460337238442207))",Phường Hương Hồ,10584,5224,5360,444,476,1581
Hương Phong,"POLYGON ((107.5808381602983 16.57668156140528, 107.58029096823282 16.57575446391388, 107.57873286232734 16.574267761739577, 107.5792340291033 16.573096182318352, 107.57897221525877 16.57229980003291, 107.58154477576346 16.569252812064633, 107.58301400405912 16.566911599217406, 107.58313744539964 16.565011910881367, 107.58302470450678 16.562837802020397, 107.5825852729539 16.562212908263575, 107.58093209597303 16.56141159251007, 107.57969985416628 16.56148362736127, 107.57871246400003 16.560750962000157, 107.57895680054145 16.558917967050377, 107.57971954300012 16.557567596000183, 107.58010117716549 16.555667362572706, 107.57961743895402 16.55448802217137, 107.57868091246144 16.552176713267613, 107.57725852674344 16.54985755017657, 107.5760315066982 16.54798551235774, 107.57533670318429 16.546849709631886, 107.57553100500013 16.54495620700004, 107.57484893570808 16.543328742672486, 107.57258829437671 16.5395663974478, 107.57107008927642 16.537357974769975, 107.57120259667028 16.536436597131797, 107.57139636936859 16.53559253763183, 107.57066756079848 16.534954734646988, 107.56934406136861 16.533741121092305, 107.56922912700009 16.532812118000038, 107.5698892529199 16.532146382041958, 107.57167053100011 16.530973435000078, 107.57193689055748 16.53006115655188, 107.57136406746059 16.52931010190798, 107.57240295300016 16.529008865000037, 107.57372545631927 16.527712526516893, 107.5747820354606 16.527781619519544, 107.57539289797921 16.52908400791756, 107.57652282600009 16.53031539900013, 107.57694302975062 16.53175800127991, 107.57847283338867 16.53391580392082, 107.57988527133307 16.535152934256246, 107.58131746020564 16.536208018077104, 107.5819057297843 16.536744502483884, 107.58266719053546 16.53712185630212, 107.58349947643876 16.537554515683667, 107.58484276429732 16.537982939083008, 107.58635771560608 16.53896420895387, 107.58747996186821 16.540803988077585, 107.58876374303509 16.543155948599576, 107.58984302434743 16.544876675835837, 107.59147882190524 16.54677999036511, 107.59287660295814 16.548103299208606, 107.59342695332111 16.549039527494415, 107.5945129391452 16.549870027022564, 107.59573213301712 16.550497115830296, 107.59849056030367 16.55112123191799, 107.60056858194719 16.551209639287606, 107.60222421164326 16.550820893699722, 107.60387990269084 16.550510504782835, 107.60527022929239 16.549940931362414, 107.60783304329942 16.549752362744982, 107.6100139808546 16.54897090350653, 107.61217634166434 16.548231440794837, 107.6146174916542 16.54820952318329, 107.61679642084647 16.54816343937165, 107.61877409057473 16.548211054660783, 107.62034369152155 16.548100962723822, 107.62239893245345 16.547908740768094, 107.62443415247958 16.547943635544414, 107.62575630073678 16.548278473974108, 107.6269372827627 16.549073154362134, 107.62770901168898 16.550044005532072, 107.62839317011009 16.551464016306966, 107.6288372730956 16.552693259790146, 107.6289266923468 16.55357142633801, 107.62870773515294 16.5544352929939, 107.62813966296272 16.555167304429688, 107.62817984408429 16.559105041969303, 107.62792531401811 16.559743710159637, 107.62712177074599 16.560566174981034, 107.62649396676403 16.560808854942138, 107.62474364121238 16.560861140252996, 107.62258718961124 16.560621619316578, 107.61931992278028 16.560804664344403, 107.61887349713436 16.560284619274285, 107.61939491924835 16.559794033896992, 107.62050973192379 16.559077805957997, 107.62274294952698 16.55892097062076, 107.62354687509679 16.556955334034114, 107.62406195982652 16.55522482439062, 107.62583861447746 16.55223769829513, 107.62350734008157 16.55140964098871, 107.62303635362122 16.5520638045449, 107.62166917609164 16.55197312393591, 107.61973411344695 16.55174513452795, 107.61966979707887 16.552772605416067, 107.61909862249001 16.55366045147656, 107.61795582205355 16.553138551379902, 107.61633264885268 16.552719411457815, 107.61402495255129 16.55366937709624, 107.61330262870058 16.555458009549398, 107.6116680866142 16.555602874884414, 107.60972115458526 16.557050298233776, 107.60741711137854 16.55752916174157, 107.60532025870378 16.557916136407584, 107.6036712769494 16.559251266342358, 107.60286828573032 16.560237145472513, 107.60126803390006 16.560280051373923, 107.60004831990551 16.559789785939074, 107.59919580273083 16.558952789322916, 107.59783395178647 16.558788917294237, 107.59688823608639 16.558719393175693, 107.59618532817848 16.55983592077996, 107.59494212601294 16.560066203093527, 107.59482863199588 16.56104152701414, 107.59503104916445 16.561829647504112, 107.59649762719005 16.562368024719092, 107.59825214335615 16.562807767792492, 107.59913309562427 16.563491015576176, 107.59907418122668 16.564387956479607, 107.59832087315493 16.56455825732985, 107.59779987429664 16.56506629531856, 107.59743888559848 16.56554040979779, 107.59657901158653 16.565876586623915, 107.59515791706605 16.565333687499333, 107.59367109391115 16.56468592360187, 107.59248258270685 16.564501288855638, 107.59141670181145 16.56673065576092, 107.58976092701863 16.56872644837921, 107.58949900742954 16.569224611090306, 107.59037818373054 16.56994799690375, 107.58996225146961 16.570859429007214, 107.58870451090229 16.5715542799378, 107.58849836412332 16.572471565560193, 107.58957915428545 16.573055892256548, 107.58964389667358 16.574847900568784, 107.58919991460078 16.576415011161032, 107.58851896478961 16.57642173701589, 107.58771608376003 16.576437943439828, 107.58758735005546 16.576670149659606, 107.58877197685655 16.578123698060892, 107.58857949622973 16.57935339445345, 107.58775084600643 16.57957817152345, 107.58651090089717 16.5797932245639, 107.5864712994076 16.57936335631001, 107.58379891421254 16.579433432463077, 107.58238569637109 16.57907067135926, 107.58093487217309 16.578215010393535, 107.5808381602983 16.57668156140528))",Xã Hương Phong,9275,4571,4704,389,417,1385
Hương Thọ,"POLYGON ((107.6079203630793 16.353364945000123, 107.60665032551776 16.354829624995716, 107.60615584420464 16.35708342820999, 107.6058773276036 16.359067459648713, 107.60495300910111 16.36188034197113, 107.60473271502036 16.363848722736748, 107.60533636490084 16.365711821039895, 107.60537487455997 16.368789724619035, 107.60535119038872 16.37070871418433, 107.60310572920923 16.37316391592543, 107.60053543538271 16.375575552320925, 107.59848565796881 16.377011259938058, 107.59666294389507 16.378318045447543, 107.59451221065592 16.377839161591794, 107.59261642783792 16.37697263310565, 107.59106494836857 16.37659162095423, 107.58999548275506 16.376548879431027, 107.58843183984129 16.377664141296805, 107.58682791574535 16.37876508995049, 107.58497280915412 16.380038452642225, 107.58288304325833 16.38158392472087, 107.58038004740439 16.3832226843312, 107.57887783615848 16.384482941414433, 107.57662765952682 16.38747886573674, 107.57557480452681 16.389992501552513, 107.57562479111255 16.393371582000157, 107.57513373937763 16.395904268865365, 107.57408836106657 16.3984641052175, 107.5732824540732 16.400472969943223, 107.57144841378624 16.402328324251982, 107.5700338069338 16.404245197069827, 107.56724786551382 16.407006352355552, 107.56606305363539 16.409536366530972, 107.56490573509802 16.410957482169465, 107.56427339125071 16.412073462112403, 107.5632432911699 16.41510405419723, 107.56224597439353 16.418225407251327, 107.56200191596139 16.420294771427336, 107.56207172201266 16.421163129108038, 107.56283866380397 16.421679738683395, 107.56310787915851 16.42233390313811, 107.55981445300006 16.42230415300014, 107.55675506500006 16.423315048000177, 107.55383300800014 16.423156738000046, 107.551681519 16.424119949999977, 107.54894256600016 16.424255371000072, 107.54800415000011 16.421838761000174, 107.54647827100007 16.420204162000175, 107.54166412300003 16.41803741500007, 107.54277801500018 16.413215637000064, 107.5415267940001 16.41248893800008, 107.54033660800008 16.40969467200017, 107.53839874200014 16.40820312400018, 107.53601837100007 16.40301895100015, 107.5347671520002 16.403453827000078, 107.53392791800002 16.402238847000092, 107.53199005200008 16.403934479000043, 107.53009796100014 16.40276908900006, 107.52806091300016 16.40652084300018, 107.52690124600002 16.40665245100007, 107.52512359500014 16.405616761000147, 107.52506256200013 16.402772905000063, 107.52234649700006 16.397911072000056, 107.52241516100003 16.395227433000116, 107.52337646600006 16.393194199000106, 107.52242279100011 16.391170500999976, 107.53271484300012 16.391500474000054, 107.53743744000013 16.390184402000045, 107.54161071800013 16.384498596000128, 107.54077911400009 16.381364822000023, 107.53730011100009 16.37707519600019, 107.53713989300013 16.374547959000097, 107.53830719000018 16.372680665000132, 107.54322814900013 16.372730255000135, 107.54589080800008 16.37042045600009, 107.54689025800013 16.370862962000103, 107.55387878500011 16.361038209000128, 107.55133819600013 16.3594112400001, 107.55174255300011 16.358222962000184, 107.5508270270002 16.35802650500017, 107.55088806200018 16.356170653999982, 107.54955291700009 16.355421066000133, 107.54858398400012 16.35657882800001, 107.54785919300014 16.35641288700009, 107.54724884000018 16.354238510000187, 107.54579925600012 16.353351594000173, 107.54553985700005 16.351989745000026, 107.54331970300007 16.351716995000004, 107.54226684600008 16.35059929000016, 107.54386138800004 16.346790314000145, 107.54467010600013 16.340984344000105, 107.54359436100003 16.339786531000186, 107.5417327880001 16.339345933000118, 107.54049682600015 16.33641624500001, 107.54288482700014 16.332031250000057, 107.542648316 16.33038520800011, 107.54399871700008 16.328887940000186, 107.54616546600005 16.32803154000004, 107.54611968900008 16.321989059000032, 107.5487594600001 16.323812485000076, 107.55033874400004 16.323135376000096, 107.5558547980001 16.328834535000112, 107.55924987700007 16.329019546000097, 107.55939483600008 16.334569931000033, 107.55857086200012 16.337005615000123, 107.5655136100001 16.339025498000183, 107.56932830900013 16.344293595000067, 107.5708084110002 16.345306397, 107.58172607500006 16.34423446700015, 107.59329986500006 16.346807480000166, 107.59510040200007 16.341606141000113, 107.595817565 16.34153938300011, 107.59671020500014 16.34385681200007, 107.59713745200008 16.344211578000113, 107.59712219200003 16.343397140000036, 107.59774017300009 16.343515396000043, 107.59780120800008 16.34447097800006, 107.60114288300008 16.346628189000114, 107.60121917800012 16.34741211000005, 107.60287475600012 16.34697532700011, 107.6027908320001 16.347930908000023, 107.60349273700018 16.348535538000135, 107.60449981700003 16.347923278999986, 107.6050491330002 16.34934234600007, 107.60556793200004 16.348300935000168, 107.60659027000008 16.348596574, 107.60665130600012 16.34699821400011, 107.60816955600018 16.34805297800017, 107.60752105600017 16.349746705000086, 107.60791778500004 16.350625991000186, 107.6060409540001 16.350543975000107, 107.60687255800013 16.35100364700014, 107.60627746600011 16.352441789000125, 107.6079203630793 16.353364945000123))",Xã Hương Thọ,5233,2607,2626,220,235,782
Hương Vinh,"POLYGON ((107.56347656200012 16.484043121000127, 107.56765747100008 16.487010957000052, 107.57761099314155 16.494581275595124, 107.57674561786837 16.49758778209099, 107.57616715113289 16.498909730860987, 107.5759097023556 16.50067279863174, 107.57647930953868 16.502988342606045, 107.57630790298572 16.50376638310405, 107.57572167805188 16.50539779600018, 107.57566780629259 16.508295656697214, 107.57741972893865 16.51017727429263, 107.57871491953023 16.511727774551446, 107.57859037268395 16.514042197075696, 107.57602976641829 16.518964780681813, 107.57434705983104 16.519156148841205, 107.57429811644766 16.52018693525048, 107.57365319680355 16.52118665812884, 107.57333290166491 16.52414998235554, 107.57342369701001 16.52583531987966, 107.57372545631927 16.527712526516893, 107.57240295300016 16.529008865000037, 107.57110595700016 16.52936172400001, 107.56619262700002 16.528377533000025, 107.56089782700019 16.530408859999966, 107.55862426700014 16.527097703000038, 107.5624008170002 16.52256202799998, 107.55941772500012 16.521926881000127, 107.55769348100006 16.520654679000188, 107.55713653499998 16.518299103000174, 107.55487060600018 16.518907547000026, 107.55415344300008 16.51770973300006, 107.5523300170002 16.51703453100015, 107.552398681 16.517835617000173, 107.55155944900002 16.51801109200005, 107.55021667600005 16.514657975000148, 107.55210876500018 16.513914108000165, 107.55087280200019 16.512109756000086, 107.55286407500017 16.509878159000095, 107.5537338260001 16.507503510000163, 107.56093597300014 16.508289337000065, 107.5640640250001 16.507518768000182, 107.5629959100001 16.503992080000046, 107.56431579600007 16.50402641200003, 107.56572723300008 16.502620696000122, 107.56777954100005 16.502653123000016, 107.56800079400017 16.503810882000153, 107.57056426999998 16.502199174000054, 107.570579528 16.499897003000058, 107.56915283100017 16.49882698099998, 107.56941986100009 16.49567794800015, 107.56750488300008 16.49537277200011, 107.56778717000009 16.492498399000056, 107.57244110000005 16.493490218000147, 107.57304382300009 16.492940903000033, 107.56387329100016 16.486270905000083, 107.56347656200012 16.484043121000127))",Phường Hương Vinh,14190,6943,7247,596,638,2119
Phú Dương,"POLYGON ((107.62187957700007 16.52857017499997, 107.6200561510002 16.532083512000156, 107.61656189000018 16.530889511000055, 107.61573791600006 16.52926445000014, 107.60520172000008 16.53152847300015, 107.60566711400008 16.528249742000014, 107.60499572800012 16.528341294000143, 107.60482025200014 16.523685456000067, 107.60303497300015 16.52459907600013, 107.59991455000016 16.521097184000098, 107.59442138700012 16.522171020000144, 107.59439086900011 16.516698837999968, 107.59214782800007 16.515958786000056, 107.59096527100019 16.514429092000114, 107.59216308600008 16.511327744000027, 107.59451293900008 16.509922028000062, 107.59315490800009 16.507606507000048, 107.59605407700002 16.50410652100004, 107.59867858900014 16.50239372300007, 107.59980774000002 16.50460624699997, 107.60174560600012 16.50633621300011, 107.60157775800013 16.508985519000134, 107.60478210500014 16.50946235700013, 107.60483550999999 16.508356095000067, 107.61033630300011 16.509235383000032, 107.61491394000006 16.50810813800007, 107.61616516100014 16.512878419000174, 107.61914062600005 16.513114930000086, 107.61898803600019 16.51561737000003, 107.62139129600007 16.515581131000147, 107.62142944300012 16.519643784000095, 107.61541748100007 16.521102905000134, 107.61918640099998 16.52612495500017, 107.61987304700017 16.528036117000056, 107.62187957700007 16.52857017499997))",Xã Phú Dương,11305,5589,5716,475,508,1688
Phú Mậu,"POLYGON ((107.57866312018427 16.495604400335253, 107.5798089681254 16.495298854059172, 107.58152206388735 16.49530223614829, 107.58303570575697 16.49579887986198, 107.58473550114019 16.497140821989888, 107.58596929519024 16.498363506572957, 107.58704049498738 16.499385709908097, 107.58789783658136 16.50113125873804, 107.5885340552083 16.502296977754668, 107.59060668900014 16.505544663000023, 107.59315490800009 16.507606507000048, 107.59451293900008 16.509922028000062, 107.59216308600008 16.511327744000027, 107.59096527100019 16.514429092000114, 107.59214782800007 16.515958786000056, 107.59439086900011 16.516698837999968, 107.59442138700012 16.522171020000144, 107.59991455000016 16.521097184000098, 107.60303497300015 16.52459907600013, 107.60482025200014 16.523685456000067, 107.60499572800012 16.528341294000143, 107.60566711400008 16.528249742000014, 107.60520172000008 16.53152847300015, 107.604270934 16.533689499000104, 107.6020050050002 16.533565521000128, 107.59808349600019 16.534725190000074, 107.59749603400007 16.533599853000112, 107.59233856200001 16.534437180000054, 107.59188842800006 16.53363037200006, 107.5945968630001 16.53020668100004, 107.59374237100008 16.527748108000083, 107.59088134700016 16.526767730000188, 107.58868408100005 16.52453994800004, 107.58656310900011 16.52527618500011, 107.58253479000012 16.528284074000055, 107.58001709000018 16.52635765100007, 107.57754700830702 16.529753750638406, 107.57622745403887 16.527859052657675, 107.57560427371641 16.525776078256172, 107.57557457741217 16.523557783581964, 107.5762855669928 16.521322621276227, 107.57692413305858 16.519445990578276, 107.57788475439378 16.517279772535858, 107.57905600643062 16.515193395642882, 107.579588512123 16.51451459775444, 107.57993093388768 16.513358204355598, 107.57980387648576 16.512120777316227, 107.57942169819728 16.510754796447713, 107.57862491569205 16.50896797105429, 107.57800136415472 16.5071737325365, 107.57754942274971 16.504984819263655, 107.57741736326 16.502670536549545, 107.57727768779569 16.500801853861844, 107.57759005530818 16.498222712507356, 107.57824999204615 16.49615166093389, 107.57866312018427 16.495604400335253))",Xã Phú Mậu,10916,5416,5500,458,491,1630
