ward,geometry,wardName,population,male,female,nppTHPT,nppTertiary,nElderly
Phú Nhuận,"POLYGON ((107.60031890900012 16.456912994000106, 107.59936523400017 16.45935440100004, 107.58976113533629 16.4680800339803, 107.58885861442741 16.46724579938865, 107.59059906100009 16.465068817000144, 107.59214019800015 16.456380844000137, 107.59410095200019 16.456157684000118, 107.59654235900013 16.455518724, 107.60031890900012 16.456912994000106))",Phường Phú Nhuận,8123,4026,4097,325,650,1805
Phước Vĩnh,"POLYGON ((107.59410095200019 16.456157684000118, 107.59214019800015 16.456380844000137, 107.58885955900001 16.45638847400005, 107.58501434400011 16.4545249950001, 107.58345031800019 16.45487022399999, 107.5822601320001 16.45204353400004, 107.58499145500008 16.451501845999985, 107.58557891800012 16.44987678500013, 107.58674621500012 16.450208665000048, 107.58627319300007 16.443695068000125, 107.58837890700005 16.44184303300011, 107.58924102700013 16.443151474000103, 107.59072875900011 16.443559646000097, 107.59134674100011 16.446763993000104, 107.5904693600001 16.44842147900016, 107.5919189450002 16.45008468700007, 107.59276580700009 16.453149795, 107.59368896500013 16.453670502000023, 107.59410095200019 16.456157684000118))",Phường Phước Vĩnh,19817,9796,10021,1651,2064,2050
Tây Lộc,"POLYGON ((107.56552828890779 16.469187637203618, 107.57320404100017 16.474714279000125, 107.57034301700008 16.479263306000178, 107.56542067946214 16.48542316103243, 107.56347656200012 16.484043121000127, 107.56214141800012 16.48314666800013, 107.55857554397403 16.480625084902954, 107.55714436056559 16.47963773815121, 107.55928645943828 16.476838819760303, 107.56138282707741 16.47428270477735, 107.56318483268706 16.47208955864545, 107.56552828890779 16.469187637203618))",Phường Tây Lộc,23307,11430,11877,568,2274,3586
Thuận Hòa,"POLYGON ((107.58161163200009 16.467353821000017, 107.5805130010001 16.468540192000034, 107.5764617910001 16.465614319000167, 107.57299804600012 16.470085144000166, 107.57575225800008 16.472255707999977, 107.57361602800006 16.474987031000126, 107.57320404100017 16.474714279000125, 107.56552828890779 16.469187637203618, 107.57157382284186 16.461218022946753, 107.57346397953239 16.461493112296637, 107.57596627113082 16.46219929935569, 107.58032948084258 16.463926934361382, 107.58333822074087 16.465572022481183, 107.58161163200009 16.467353821000017))",Phường Thuận Hòa,16528,8130,8398,1653,331,2960
Thuỷ Biều,"POLYGON ((107.55380233959863 16.451570713020544, 107.54997920265896 16.450474879216245, 107.54722109564472 16.44982561311241, 107.54518458288362 16.450230405908485, 107.54270137703327 16.450291402698156, 107.54003485041437 16.45034250311255, 107.53634452179409 16.44903008154398, 107.53314976416408 16.447649673079297, 107.53145316128172 16.446953887664904, 107.52934304213085 16.44678165336859, 107.5291274848214 16.44540771759864, 107.52885699324315 16.44339855790065, 107.52921832968121 16.441967732000023, 107.52989943874763 16.440911415821347, 107.53259400983728 16.438572305549428, 107.53451356253362 16.437092036698687, 107.53685784672956 16.43613215850644, 107.54086276315081 16.434903472720976, 107.54529126064574 16.433860979388783, 107.54852719549609 16.432984252437507, 107.55209433288906 16.43176192205499, 107.55557279820022 16.430557262827108, 107.55918192283599 16.429744352380794, 107.56077238474961 16.429251089276306, 107.56213314423036 16.42797571604615, 107.56315558213714 16.42751948819688, 107.56483607910502 16.425256977184404, 107.56535841208154 16.425037438751076, 107.56608581500006 16.42490959200012, 107.56680540667787 16.42618320563173, 107.56580645104623 16.428367244723916, 107.56466674799998 16.428659440000047, 107.56278228700012 16.431285858000138, 107.5631332390002 16.432312012000125, 107.56123352000014 16.440227510000113, 107.55898284900019 16.44246673700019, 107.55769348100006 16.445383072000027, 107.55737304600012 16.44866943300002, 107.55583190900006 16.448566438000114, 107.55380233959863 16.451570713020544))",Phường Thuỷ Biều,10488,5161,5327,440,472,1566
Thuỷ Xuân,"POLYGON ((107.58399963400018 16.436880112999972, 107.57935333200015 16.435689927000112, 107.57893371600005 16.437253953000038, 107.58055877800007 16.440734863999978, 107.57727813700012 16.449319841000033, 107.57523345900006 16.452411651000034, 107.57436370800013 16.455835344000093, 107.57401275600006 16.45336723300005, 107.57302856500007 16.453401565000092, 107.57257843100012 16.455280305000088, 107.56728363100007 16.452859879000187, 107.5644073480002 16.453252793000047, 107.56311798100018 16.452701569000055, 107.56321716300005 16.45178604100016, 107.55737304600012 16.44866943300002, 107.55769348100006 16.445383072000027, 107.55898284900019 16.44246673700019, 107.56123352000014 16.440227510000113, 107.5631332390002 16.432312012000125, 107.56278228700012 16.431285858000138, 107.56466674799998 16.428659440000047, 107.56580645104623 16.428367244723916, 107.56680540667787 16.42618320563173, 107.56608581500006 16.42490959200012, 107.57134246800007 16.423694610000155, 107.571662903 16.420522689000165, 107.57590484700017 16.42255592400005, 107.57733917200011 16.424089431000027, 107.57983398400012 16.424507141000163, 107.58059692400019 16.42106628400012, 107.58263397200017 16.420396805000053, 107.58354187000015 16.417573927999968, 107.5867309570001 16.417240143000186, 107.58826446600006 16.417400359999988, 107.58816528400007 16.419931411000107, 107.58699798700019 16.42255020200014, 107.58915710500014 16.42337227000013, 107.5855102550002 16.43538665800014, 107.58399963400018 16.436880112999972))",Phường Thuỷ Xuân,21250,10500,10750,46,924,4474
Trường An,"POLYGON ((107.58837890700005 16.44184303300011, 107.58627319300007 16.443695068000125, 107.58674621500012 16.450208665000048, 107.58557891800012 16.44987678500013, 107.58499145500008 16.451501845999985, 107.5822601320001 16.45204353400004, 107.58345031800019 16.45487022399999, 107.5803985600001 16.456842423000012, 107.58057403600009 16.455139161000147, 107.57929229800004 16.45437050000004, 107.57853698800011 16.45083618199999, 107.57727813700012 16.449319841000033, 107.58055877800007 16.440734863999978, 107.57893371600005 16.437253953000038, 107.57935333200015 16.435689927000112, 107.58399963400018 16.436880112999972, 107.58718109100005 16.439447403000145, 107.58837890700005 16.44184303300011))",Phường Trường An,16549,8098,8451,1504,38,2106
Vĩ Dạ,"POLYGON ((107.59318336713716 16.47496273823623, 107.59417791075174 16.475065843835864, 107.59463943846731 16.474019239670042, 107.59590477379737 16.474349210670027, 107.59784270490275 16.47370204154379, 107.59931675367005 16.473018701986575, 107.6007233279484 16.471441270000128, 107.602399613189 16.470932048632278, 107.60309054144335 16.47109035863224, 107.60539567784917 16.47224589524069, 107.60648013257094 16.474550563391745, 107.60389709400016 16.476713180000047, 107.60392761300011 16.479616166000085, 107.60311126700009 16.480905533000055, 107.60337066700004 16.48187065100018, 107.60581970200008 16.48392486500012, 107.60383605900017 16.483501435000107, 107.59943390000018 16.484556199000167, 107.59692382700007 16.486240386000134, 107.596321106 16.489124299000082, 107.59422466155746 16.48937926886117, 107.59483611452907 16.486698354312296, 107.59535856366637 16.484836478535215, 107.59511633040711 16.483712067111867, 107.59422977895673 16.484134235702072, 107.59371632309956 16.485530096320645, 107.59237271000637 16.48543243968993, 107.59197529360102 16.484027614007857, 107.59183614535397 16.481878006240663, 107.59249276724682 16.48035084524497, 107.59286329930393 16.477812594965826, 107.59318336713716 16.47496273823623))",Phường Vỹ Dạ,19495,9707,9788,34,672,1978
Vĩnh Ninh,"POLYGON ((107.58447891337886 16.46312532552571, 107.58290584967392 16.462212770405017, 107.58125583878956 16.461877408681005, 107.58009466420464 16.461748010630174, 107.57924948534583 16.460890262193118, 107.57791887497285 16.460239734843242, 107.57651182474967 16.459520939606023, 107.57681274500015 16.458440781000093, 107.5803985600001 16.456842423000012, 107.58345031800019 16.45487022399999, 107.58501434400011 16.4545249950001, 107.58885955900001 16.45638847400005, 107.59214019800015 16.456380844000137, 107.59059906100009 16.465068817000144, 107.58885861442741 16.46724579938865, 107.58670095353108 16.465189861875956, 107.58498466533524 16.46340645579022, 107.58447891337886 16.46312532552571))",Phường Vĩnh Ninh,6299,3165,3134,264,283,941
Xuân Phú,"POLYGON ((107.60153198300014 16.456869125000082, 107.60128784200009 16.459173203000148, 107.60263824500004 16.4594593060001, 107.60556030200013 16.46263122500011, 107.60614013700001 16.46281814600019, 107.60698699900013 16.46169471800016, 107.60824585000012 16.462465287000043, 107.61019134600014 16.4618186940001, 107.610671997 16.463220596999975, 107.61363983100006 16.463214875000062, 107.61365509100011 16.466186524000022, 107.61177825800013 16.466159820000087, 107.6118774410001 16.47034645100001, 107.6127243050002 16.470386506000068, 107.61280059900008 16.471296311000117, 107.61487579300001 16.470512391000057, 107.61586761500001 16.472568513, 107.6131439200002 16.473743438000156, 107.6072463980002 16.473945617000084, 107.6060409540001 16.47228622500012, 107.60333251999998 16.470525742000007, 107.60159301800013 16.470367432000046, 107.59987640300011 16.471441270000128, 107.59883880700005 16.468587876000072, 107.6001434330002 16.464700699000048, 107.59936523400017 16.45935440100004, 107.60031890900012 16.456912994000106, 107.60153198300014 16.456869125000082))",Phường Xuân Phú,15216,7484,7732,639,684,2272
